program_category,default_channel,Landing_page,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
MED,Direct,/teaching-to-every-students-unique-learning-style/,90,-410,96,-814,0,0,0,0
MSHA,Organic Search,/logical-framework-approach/,90,88,78,73,0,0,0,0
MSNP,Organic Search,/nonprofit-jobs/,89,-27,92,-30,0,0,0,0
Data Science,Display,/masters-applied-data-science/lp/study-data-science/,88,,92,,1,,0.011363636363636364,
MED,Referral,/teacher-centered-vs-student-centered-learning/,87,12,90,13,1,-2,0.011494252873563218,-0.028505747126436783
CyberOps,Display,/masters-cyber-security-operations/lp/smartbrief-display/,87,-410,89,-435,0,-5,0,-0.01006036217303823
MSAAI,Organic Search,/best-artificial-intelligence-degrees/,87,-847,95,-979,0,-6,0,-0.006423982869379015
MED,Organic Search,/per-pupil-education-spending-by-state/,86,-59,94,-53,0,0,0,0
MESH,Organic Search,/career-changes-for-engineers/,86,-209,93,-203,0,0,0,0
MSITL,Paid Search,/masters-information-technology-leadership/lp/ppc/,86,-329,113,-489,4,-19,0.046511627906976744,-0.008910058840011205
LEPSL,Organic Search,/what-is-intelligence-led-policing/,86,-637,100,-662,0,0,0,0
MED,Organic Search,/differentiated-instruction/,86,-518,71,-571,0,0,0,0
MSHA,Organic Search,/top-humanitarian-degrees/,85,-206,107,-233,2,2,0.023529411764705882,0.023529411764705882
CyberOps,Organic Search,/ethical-hacker-career-salary-guide/,85,-765,96,-1009,0,-4,0,-0.004705882352941176
LEPSL,Organic Search,/what-style-police-leadership-most-effective/,85,-741,86,-844,0,-2,0,-0.002421307506053269
MSAAI,Direct,/application-of-ai-in-robotics/,84,-1821,96,-1959,0,0,0,0
MSLDT,Organic Search,/learning-objectives-examples/,84,,79,,0,,0,
LEPSL,Organic Search,/top-5-trends-in-law-enforcement/,84,-382,97,-426,0,0,0,0
MTS,Organic Search,/liturgy-of-the-hours/,84,,100,,1,,0.011904761904761904,
MESH,Organic Search,/ngo-careers/,83,-564,89,-579,1,-1,0.012048192771084338,0.008957002662892684
MSAAI,Organic Search,/artificial-intelligence-courses-and-certifications/,83,-180,88,-172,0,0,0,0
CyberEng,Organic Search,/masters-cyber-security-engineering/,83,-60,116,-146,0,-2,0,-0.013986013986013986
MSAAI,Direct,/ethics-in-artificial-intelligence/,82,12,74,-6,0,0,0,0
MED,Direct,/masters-education/,81,-114,121,-223,2,-7,0.024691358024691357,-0.0214624881291548
MED,Unknown - chatgpt.com / (not set),/life-skills-education-in-schools/,80,,78,,0,,0,
CyberOps,Direct,/masters-cyber-security-operations/,80,-112,123,-248,4,-2,0.05,0.018750000000000003
MED,Direct,/faculty/joseph-lathan/,79,36,105,36,0,0,0,0
MSLDT,Direct,/kirkpatrick-training-evaluation-model/,78,76,68,61,0,0,0,0
MSNP,Organic Search,/grant-writer-career/,78,76,81,73,0,0,0,0
LEPSL,Email,/masters-law-enforcement-leadership/,78,-31,98,-82,0,-1,0,-0.009174311926605505
MSLDT,Direct,/masters-learning-design-technology/,78,-39,145,-56,0,-1,0,-0.008547008547008548
MTS,Organic Search,/how-to-become-a-spiritual-director/,77,,88,,0,,0,
Default - (not set),Direct,/how-to-become-an-entrepreneur/,77,,81,,0,,0,
MSNNL,Unknown - social / social,/director-of-nursing-career-guide/,77,,86,,0,,0,
MTS,Organic Search,/what-is-lay-ministry/,76,-204,95,-209,0,-1,0,-0.0035714285714285713
MSAAI,Referral,/artificial-intelligence-business/,76,36,65,28,0,0,0,0
MTS,Direct,/why-study-theology/,75,6,75,-9,0,0,0,0
Informatics,Paid Social,/masters-health-informatics/lp/request-info/,75,-228,81,-247,0,0,0,0
MSNNL,Display,/resources/nurse-leader-career-paths-opportunities/,75,,97,,20,,0.26666666666666666,
Default - (not set),Direct,/employer-partnership/,75,22,83,-11,2,2,0.02666666666666667,0.02666666666666667
MTS,Organic Search,/jobs-for-catholics/,74,-123,87,-126,0,0,0,0
LEPSL,Organic Search,/faculty/wendy-patrick/,74,22,83,27,0,0,0,0
MSLDT,Paid Social,/masters-learning-design-technology/lp/study-learning-design-technology/,74,-437,79,-485,4,-8,0.05405405405405406,0.030570688104934685
MSAAI,Referral,/masters-applied-artificial-intelligence/,74,-86,125,-265,3,-8,0.04054054054054054,-0.028209459459459463
LEPSL,Organic Search,/why-police-officer-education-is-important/,74,-150,74,-157,1,1,0.013513513513513514,0.013513513513513514
MESH,Organic Search,/6-best-urban-planning-careers-degree-salary-guide/,74,-220,80,-226,0,0,0,0
MSAAI,Organic Search,/machine-learning-podcast/,73,-130,75,-124,0,0,0,0
MED,Direct,/best-masters-degrees-for-teachers/,72,-312,76,-415,0,0,0,0
MSLDT,Direct,/create-employee-training-program/,72,-182,64,-213,0,-2,0,-0.007874015748031496
MED,Organic Search,/co-teaching-models/,72,-208,63,-195,0,0,0,0
CyberEng,Organic Search,/network-forensics-tools/,71,-352,69,-344,0,0,0,0
CyberOps,Organic Search,/best-jobs-in-cyber-security/,71,-402,77,-463,0,-2,0,-0.004228329809725159
MESH,Organic Search,/community-health-degree-jobs/,71,-333,70,-333,0,0,0,0
MTS,Email,/masters-theological-studies/,71,61,110,102,1,0,0.014084507042253521,-0.08591549295774649
Data Science,Direct,/masters-applied-data-science/,70,-127,87,-207,1,-5,0.014285714285714285,-0.01617113850616389
CyberEng,Organic Search,/masters-cyber-security-engineering/lp/cyber-security-engineering/,69,-15,75,-31,2,-2,0.028985507246376812,-0.018633540372670804
MSAAI,Organic Search,/artificial-intelligence-scholarships/,68,-494,80,-504,1,-2,0.014705882352941176,0.00936780406112623
EML,Organic Search,/principal-engineer-vs-senior-engineer/,68,,71,,0,,0,
MSNNL,Email,/masters-nursing-leadership/lp/nurse-cp/,67,,68,,0,,0,
