program_category,default_channel,Landing_page,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
CyberOps,Direct,/top-100-cybersecurity-companies/,88,-159,80,-196,0,0,0,0
Informatics,Organic Search,/ai-healthcare/,88,-32,89,-48,0,0,0,0
Data Science,Display,/business-intelligence-certifications/,86,,86,,0,,0,
MTS,Organic Search,/how-to-become-a-catholic-school-teacher/,85,-62,88,-72,0,0,0,0
MED,Direct,/brain-based-learning/,84,-193,76,-239,0,0,0,0
MSHA,Organic Search,/top-humanitarian-degrees/,84,-124,108,-154,1,0,0.011904761904761904,0.007097069597069596
Data Science,Direct,/masters-applied-data-science/,83,-95,103,-188,0,-5,0,-0.028089887640449437
Default - (not set),Direct,/employer-partnership/guidepoint-security-llc/,82,,83,,0,,0,
MSNNL,Paid Search,/masters-nursing-leadership/nursing-educator-track/,81,,137,,2,,0.024691358024691357,
MESH,Organic Search,/ngo-careers/,80,-418,86,-408,0,-4,0,-0.008032128514056224
EML,Direct,/future-engineering-trends/,79,,74,,0,,0,
LEPSL,Organic Search,/what-style-police-leadership-most-effective/,79,-502,76,-587,0,0,0,0
MED,Direct,/best-masters-degrees-for-teachers/,79,-111,80,-152,0,-3,0,-0.015789473684210527
MSLDT,Organic Search,/top-instructional-design-software/,77,-340,74,-366,0,-4,0,-0.009592326139088728
MED,Direct,/what-is-educational-technology-definition-examples-impact/,77,-247,80,-314,0,0,0,0
EML,Organic Search,/senior-engineer-vs-tech-lead-vs-lead-engineer/,77,-530,79,-496,0,-2,0,-0.0032948929159802307
EML,Organic Search,/principal-engineer-vs-senior-engineer/,77,,84,,0,,0,
MSLDT,Organic Search,/addie-model-instructional-design/,76,-135,72,-133,0,0,0,0
MED,Organic Search,/inclusive-education-strategies/,75,-574,85,-649,0,-2,0,-0.0030816640986132513
Informatics,Direct,/8-technologies-changing-healthcare/,73,-98,71,-117,0,0,0,0
MSLDT,Organic Search,/career-changes-for-teachers/,73,-719,71,-768,0,0,0,0
MTS,Organic Search,/how-to-become-a-spiritual-director/,73,,83,,0,,0,
Default - (not set),Direct,/how-to-become-an-entrepreneur/,72,,73,,0,,0,
MED,Direct,/inclusive-education-strategies/,72,-195,74,-233,0,0,0,0
CyberOps,Direct,/masters-cyber-security-operations/,71,-57,102,-175,4,-2,0.056338028169014086,0.009463028169014086
MTS,Paid Social,/masters-theological-studies/lp/mts-ppc/,71,,83,,7,,0.09859154929577464,
LEPSL,Referral,/masters-law-enforcement-leadership/lp/fop/,70,-80,88,-72,4,-3,0.05714285714285714,0.010476190476190472
MED,Organic Search,/co-teaching-models/,70,-137,71,-119,0,0,0,0
Default - (not set),Organic Search,/student-support/office-of-financial-aid-services/,69,-6,72,-13,0,0,0,0
Informatics,Paid Social,/nursing-informatics-vs-health-informatics/,69,68,75,74,0,0,0,0
MSHA,Direct,/examples-of-social-change/,69,59,64,53,0,0,0,0
MSNNL,Direct,/masters-nursing-leadership/,69,5,132,4,0,-7,0,-0.109375
MSAAI,Direct,/ai-blogs/,69,-31,64,-35,0,0,0,0
BSN,Paid Search,/bachelors-nursing/,68,,75,,0,,0,
