program_category,Channel,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
MTS,Unknown - optin monster / exit overlay,1,,2,,0,,0,
"Default - business-entrepreneurship,computer-science,engineering,technology",Unknown - optin monster / exit overlay,1,,5,,1,,1,
Default - computer-science,Direct,1,-9,1,-9,0,0,0,
CyberOps,Unknown - idg / native,1,,1,,0,,0,
BSN,Referral,1,,1,,0,,0,
Default - computer-science,Paid Social,1,,3,,1,,1,
MED,Unknown - optin monster / exit overlay,1,,1,,0,,0,
Data Science,Unknown - optin monster / exit overlay,1,,1,,0,,0,
MSAAI,Unknown - comms / pressrelease,1,,1,,0,,0,
MSHA,Unknown - perplexity / (not set),1,,1,,0,,0,
MTS,Unknown - youtube / video,1,,1,,0,,0,
MSLDT,Unknown - linkedin / social,1,,1,,0,,0,
MSAAI,Unknown - copilot.com / (not set),1,,1,,0,,0,
"Default - business-entrepreneurship,computer-science,engineering,technology",Paid Search,1,,1,,1,,1,
MSHA,Unknown - ihsa / efafeeby,1,,1,,0,,0,
BSN,Unknown - flyer / offline,1,,7,,0,,0,
MSNNL,Unknown - mts_youtube / video,1,,1,,0,,0,
MSLDT,Unknown - (not set) / third-party-=,1,,1,,0,,0,
CyberEng,Unknown - perplexity / (not set),1,,1,,0,,0,
MSAAI,Unknown - optin monster / exit overlay,1,,6,,1,,1,
MSNP,Unknown - perplexity / (not set),1,0,4,3,0,0,0,
MSLDT,Unknown - youtube / social,1,,1,,0,,0,
CyberOps,Unknown - idg / nativecontent,1,,1,,0,,0,
CyberOps,Unknown - copilot.com / (not set),1,,1,,0,,0,
CyberOps,Unknown - perplexity / (not set),1,0,1,0,0,0,0,
"Default - business-entrepreneurship,computer-science,engineering,technology",Organic Search,1,,9,,2,,2,
MSNP,Display,1,,1,,0,,0,
"Default - engineering,healthcare,sustainability",Organic Search,1,0,0,-11,0,0,0,
MED,Unknown - chatgpt.com / organic,1,,1,,0,,0,
MSLDT,Unknown - (not set) / partner,1,,1,,0,,0,
MSNP,Unknown - sdbusinessjournal / offline,1,,1,,0,,0,
MSAAI,Unknown - facebook / social,0,,0,,0,,null,
