program_category,default_channel,Landing_page,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
Data Science,Direct,/data-science-scholarships/,3,-1,3,-2,0,0,0,0
Data Science,AI Traffic,/data-science-bootcamps/,3,,3,,0,,0,
Data Science,Organic Search,/data-science-bootcamps/,3,-17,2,-18,0,0,0,0
EML,Direct,/faculty/mandeep-kaur/,3,,3,,0,,0,
EML,Paid Search,/,3,-2,11,-7,0,0,0,0
EML,Direct,/how-to-become-vp-engineering/,3,,3,,0,,0,
EML,Referral,/,3,1,14,8,0,0,0,0
Data Science,Direct,/data-science-bootcamps/,3,-4,3,-4,0,0,0,0
EML,Display,/masters-engineering-management-leadership/,3,,4,,0,,0,
Data Science,Organic Search,/applications-of-data-science-in-healthcare/,3,0,4,-2,0,0,0,0
EML,Organic Search,/faculty/gb-singh/,3,-6,3,-7,0,0,0,0
Data Science,Direct,/resources/look-inside-data-science-masters/,3,2,3,2,0,0,0,0
Data Science,Direct,/machine-learning-vs-statistics/,3,2,4,3,0,0,0,0
Data Science,Paid Social,/masters-applied-data-science/classes/,3,2,4,3,0,0,0,0
Data Science,Direct,/advisory-board/ebrahim-k-tarshizi/,3,0,3,0,0,0,0,0
Data Science,Direct,/supervised-machine-learning-with-gradient-boosting/,3,-1,3,-3,0,0,0,0
EML,Direct,/engineering-leadership/,3,-7,3,-12,0,0,0,0
Data Science,Direct,/data-science-vs-statistics-masters/,3,,3,,0,,0,
Data Science,Referral,/masters-applied-data-science/apply/,2,-2,2,-15,0,-2,0,-0.5
Data Science,Organic Search,/data-science-scholarships/,2,-2,3,-1,0,0,0,0
Data Science,Organic Search,/data-analytics-consultant/,2,-20,3,-20,0,0,0,0
Data Science,Direct,/masters-cyber-security-operations/,2,0,19,8,0,0,0,0
Data Science,Direct,.translate.goog/advisory-board/ebrahim-k-tarshizi/,2,,7,,0,,0,
