program_category,default_channel,Landing_page,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
EML,Organic Search,.translate.goog/master-of-engineering-management-careers/,1,,1,,0,,0,
EML,Direct,/search/what+skills+do+you+need+to+be+a+ai+engineer/,1,,1,,0,,0,
Data Science,Direct,.translate.goog/aws-certification-careers/,1,,1,,0,,0,
EML,Unknown - Data Not Available / Data Not Available,/masters-engineering-management-leadership/curriculum/,1,,1,,0,,0,
Data Science,Organic Search,/faculty/erin-cooke/,1,0,1,1,0,0,0,0
Data Science,Paid Search,/advisory-board/ebrahim-k-tarshizi/,1,,1,,0,,0,
Data Science,Organic Search,/faculty/matthew-c-vanderbilt/,1,-1,1,-1,0,0,0,0
Data Science,Direct,/masters-applied-data-science/msads-combined-degree/,1,,0,,0,,0,
Data Science,AI Traffic,/quantitative-analyst-career/,1,,1,,0,,0,
Data Science,Direct,.translate.goog/data-architect-career/,1,,1,,0,,0,
Data Science,Organic Search,/data-science-bootcamp-vs-masters-degree/,1,0,1,0,0,0,0,0
Data Science,Direct,/resources/mads-masters-degree-application-guide-ebook-you/,1,,1,,1,,1,
EML,Referral,/engineering-management-leadership-certifications/,1,-1,1,-1,0,0,0,0
Data Science,Unknown - blog / inlinecta,/resources/questions-to-ask-masters-data-science-checklist/,1,-2,1,-2,0,0,0,0
Data Science,Direct,/classes/applied-data-mining/,1,0,1,0,0,0,0,0
Data Science,Organic Search,.translate.goog/quantitative-analyst-career/,1,0,1,0,0,0,0,0
EML,Direct,/masters-cyber-security-engineering/lp/cyber-security-engineering/,1,,7,,0,,0,
EML,Direct,/masters-engineering-management-leadership/faculty/,1,,1,,0,,0,
Data Science,AI Traffic,/database-engineer-career/,1,,1,,0,,0,
EML,Organic Search,.translate.goog/engineering-leadership/,1,,1,,0,,0,
EML,Direct,/masters-engineering-management-leadership/let-us-pay-for-your-eml-program-application-fee/,1,,1,,0,,0,
EML,Organic Search,/advisory-board/nirav-mandir/,1,0,1,0,0,0,0,0
EML,Direct,/master-of-engineering-management-careers/,1,,1,,0,,0,
Data Science,Direct,/top-online-cloud-computing-courses/,1,,1,,0,,0,
Data Science,Direct,/data-analyst-careers-and-salary/,1,,1,,0,,0,
Data Science,Direct,/faculty/sean-coyne/,1,,1,,0,,0,
Data Science,Referral,/faculty/sean-coyne/,1,,1,,0,,0,
Data Science,Direct,/faculty/eric-colson/,1,,1,,0,,0,
Data Science,Direct,/data-science-and-data-engineering-distinctions-and-similarities/,1,,1,,0,,0,
Data Science,Direct,/faculty/parastoo-qarabaqi/,1,,1,,0,,0,
