program_category,default_channel,Landing_page,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
MTS,Paid Social,/masters-theological-studies/lp/ppc/,111,75,136,95,9,7,0.081081081,0.025525525525525533
MED,Organic Search,/instructional-leadership/,110,-16,99,-29,1,1,0.009090909,0.009090909
CyberEng,Direct,/masters-cyber-security-engineering/,107,-20,137,-67,1,-1,0.009345794,-0.006402237
MSLDT,Direct,/instructional-design-models/,106,18,108,-14,0,0,0,0
MSHA,Organic Search,/logical-framework-approach/,106,-16,106,-20,0,0,0,0
Default - (not set),Direct,/how-to-become-an-entrepreneur/,105,-9,103,-15,0,0,0,0
LEPSL,Direct,/top-5-trends-in-law-enforcement/,105,88,95,78,0,0,0,0
MED,Direct,/faculty/joseph-lathan/,104,32,116,16,0,0,0,0
EML,Organic Search,/engineering-manager-skills/,104,66,104,54,1,-1,0.009615385,-0.043016194
MED,Direct,/what-is-educational-technology-definition-examples-impact/,102,52,117,59,0,0,0,0
MED,Direct,/differentiated-instruction/,101,30,108,33,0,0,0,0
MTS,Direct,/catholic-charism-comparison/,99,-10,94,-10,0,0,0,0
MSAAI,Direct,/masters-applied-artificial-intelligence/apply/,96,5,113,-66,0,-7,0,-0.076923077
MSLDT,Organic Search,/top-instructional-design-software/,96,-6,98,-1,3,3,0.03125,0.03125
CyberEng,Organic Search,/cyber-security-statistics/,95,-24,93,-30,0,0,0,0
MED,Direct,/masters-education/,94,18,130,-24,2,0,0.021276596,-0.005039194
MED,Direct,/best-masters-degrees-for-teachers/,93,9,99,-21,0,0,0,0
MTS,Organic Search,/why-study-theology/,92,-19,98,-34,0,0,0,0
MSAAI,Direct,/ai-blogs/,92,-9,97,-11,0,0,0,0
MSAAI,Organic Search,/artificial-intelligence-courses-and-certifications/,91,0,91,-3,0,-2,0,-0.021978022
MESH,Organic Search,/6-best-urban-planning-careers-degree-salary-guide/,91,11,100,18,0,0,0,0
MSHA,Organic Search,/top-humanitarian-degrees/,91,-12,104,-30,0,-1,0,-0.009708738
LEPSL,Organic Search,/why-police-officer-education-is-important/,90,10,100,9,0,0,0,0
MSHA,Direct,/examples-of-social-change/,90,59,85,56,0,0,0,0
LEPSL,Direct,/masters-law-enforcement-leadership/,89,-34,157,-155,2,1,0.02247191,0.014341828811546541
MSITL,Organic Search,/it-careers-after-help-desk/,88,27,85,23,0,0,0,0
MSITL,Organic Search,/it-organizational-structure/,88,-6,81,-11,0,-1,0,-0.010638298
MSAAI,Direct,/ai-ethicist-career/,88,14,89,7,1,1,0.011363636363636364,0.011363636363636364
MESH,Organic Search,/community-health-degree-jobs/,88,-7,90,-6,0,0,0,0
MSITL,Organic Search,/technology-degrees/,87,11,85,7,0,0,0,0
MSLDT,Organic Search,/instructional-technology-tools/,87,-6,86,-8,0,-1,0,-0.010752688
MSAAI,Organic Search,/ai-research-scientist-career/,87,3,95,-34,0,-2,0,-0.023809524
MSLDT,Direct,/learning-objectives-examples/,87,56,82,48,0,0,0,0
MSNP,Direct,/masters-nonprofit-leadership-management/,86,18,116,-49,2,-4,0.023255813953488372,-0.06497948
CyberEng,Organic Search,/masters-cyber-security-engineering/,86,-25,118,-69,2,-1,0.023255813953488372,-0.003771213
MED,Direct,/educational-resources-for-teachers/,84,36,77,28,0,0,0,0
MSAAI,Organic Search,/machine-learning-podcast/,84,-4,86,-10,0,0,0,0
MED,Organic Search,/masters-education/,82,20,151,15,3,3,0.036585365853658534,0.036585365853658534
MED,Direct,/cooperative-learning-strategies/,81,1,78,-2,0,0,0,0
CyberEng,Organic Search,/cyber-crime-investigator-career/,81,7,78,-1,0,0,0,0
MSITL,Paid Search,/masters-information-technology-leadership/classes/cyber-security-pathway/,80,,133,,3,,0.0375,
LEPSL,Organic Search,/top-5-trends-in-law-enforcement/,80,-1,87,-1,0,0,0,0
CyberEng,Organic Search,/should-you-become-a-cyber-security-engineer/,80,11,79,-6,0,0,0,0
MSNP,Organic Search,/nonprofit-jobs/,79,1,88,-1,0,0,0,0
MSITL,Direct,/masters-information-technology-leadership/,79,11,139,-22,1,0,0.012658227848101266,-0.002047655
MSAAI,Organic Search,/machine-learning-engineer-career/,79,13,84,15,0,0,0,0
Informatics,Paid Social,/masters-health-informatics/lp/study-health-informatics/,77,47,79,43,3,0,0.038961039,-0.061038961
MSLDT,Paid Social,/masters-learning-design-technology/lp/study-learning-design-technology/,76,-65,81,-96,4,-7,0.052631579,-0.025382605
MSITL,Referral,/masters-information-technology-leadership/,76,32,111,60,0,0,0,0
MED,Referral,/teacher-centered-vs-student-centered-learning/,76,2,72,0,0,-1,0,-0.013513514
Informatics,Paid Search,/masters-health-informatics/lp/study-healthcare-analytics/,76,-69,115,-77,8,1,0.10526315789473684,0.056987296
CyberOps,Direct,/masters-cyber-security-operations/,75,17,97,7,1,0,0.013333333333333334,-0.003908046
MSHA,Direct,/theory-of-change/,75,8,64,0,0,0,0,0
Default - (not set),Direct,/admissions/,75,25,78,24,0,0,0,0
MTS,Direct,/religious-vocational-discernment/,75,-4,73,-3,0,0,0,0
Informatics,Organic Search,/ai-healthcare/,75,16,83,12,0,0,0,0
