program_category,default_channel,Landing_page,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
MSAAI,Direct,/ai-ethicist-career/,62,23,61,14,0,0,0,0
MSNP,Organic Search,/nonprofit-grant-databases/,62,-1,62,3,1,1,0.016129032258064516,0.016129032258064516
MSHA,Organic Search,/international-affairs-careers/,61,32,67,36,0,0,0,0
MSLDT,Direct,/what-is-instructional-design-examples/,61,23,60,23,0,0,0,0
LEPSL,Organic Search,/top-5-trends-in-law-enforcement/,61,-23,64,-33,0,0,0,0
CyberEng,Direct,/masters-cyber-security-engineering/classes/,61,13,61,11,0,0,0,0
MSNP,Organic Search,/grant-writer-career/,60,-18,71,-10,0,0,0,0
Default - (not set),Direct,/admissions/how-to-apply/,60,20,67,26,2,2,0.03333333333333333,0.03333333333333333
MED,Direct,/adaptive-curriculum-for-special-education/,60,33,55,30,0,0,0,0
LEPSL,Organic Search,/why-police-officer-education-is-important/,60,-14,59,-15,0,-1,0,-0.013513513513513514
EML,Organic Search,/masters-engineering-management-leadership/,59,20,106,17,1,1,0.01694915254237288,0.01694915254237288
MSNP,Organic Search,/ngo-vs-nonprofit/,59,2,60,-11,0,0,0,0
MSLDT,Referral,/instructional-design-models/,59,44,57,44,0,0,0,0
CyberEng,Organic Search,/network-forensics-tools/,58,-13,50,-19,0,0,0,0
MTS,Organic Search,/religious-vocational-discernment/,58,-2,62,-8,0,0,0,0
Informatics,Paid Social,/masters-health-informatics/lp/study-health-informatics/,57,-322,60,-353,1,-24,0.017543859649122806,-0.048419201036893025
Default - (not set),Organic Search,/student-support/office-of-financial-aid-services/,57,24,63,28,0,0,0,0
MTS,Organic Search,/why-study-theology/,56,1,59,-1,0,0,0,0
Default - (not set),Direct,/admissions/,56,15,66,2,2,2,0.03571428571428571,0.03571428571428571
Default - (not set),Direct,/online-programs/,56,13,57,12,0,0,0,0
MED,Organic Search,/teacher-resume-examples/,55,34,63,36,2,2,0.03636363636363636,0.03636363636363636
CyberEng,Organic Search,/masters-cyber-security-engineering/,55,-28,79,-37,0,0,0,0
MTS,Organic Search,/how-to-regain-your-faith/,54,-6,57,-18,0,0,0,0
MSNP,Organic Search,/nonprofit-executive-director/,53,15,59,23,0,0,0,0
MSNP,Organic Search,/nonprofit-operations-career/,52,5,53,8,0,0,0,0
MSAAI,Direct,/ai-trainer/,52,31,55,32,0,0,0,0
MSITL,Direct,/information-technology-trends/,52,27,51,24,0,0,0,0
CyberOps,Direct,/ethical-hacker-career-salary-guide/,52,13,58,19,0,0,0,0
Data Science,Organic Search,/sports-analytics-careers/,51,14,62,24,1,1,0.0196078431372549,0.0196078431372549
CyberEng,Organic Search,/black-vs-gray-vs-white-hat-hackers/,51,-11,48,-14,0,0,0,0
Default - (not set),Direct,/programs/,50,0,72,9,2,2,0.04,0.04
MSHA,Direct,/logical-framework-approach/,50,4,50,9,0,0,0,0
LEPSL,Organic Search,/police-conflict-management-strategies/,50,11,52,10,0,0,0,0
MSAAI,Paid Search,/masters-applied-artificial-intelligence/,50,23,73,37,2,0,0.04,-0.03407407407407407
LEPSL,Email,/masters-law-enforcement-leadership/,50,-28,57,-41,1,1,0.02,0.02
MED,Direct,/manage-cell-phones-in-class-tips/,49,20,52,17,0,0,0,0
MSITL,Organic Search,/it-organizational-structure/,49,-5,44,-10,0,0,0,0
MESH,Direct,/masters-engineering-sustainability-health/,49,-2,57,-12,0,-1,0,-0.0196078431372549
MSAAI,AI Traffic,/ai-blogs/,49,-27,57,-28,0,0,0,0
CyberOps,Organic Search,/masters-cyber-security-operations/,49,-2,95,23,2,1,0.04081632653061224,0.02120848339335734
MSHA,Organic Search,/social-advocacy-definition/,49,-13,46,-14,0,0,0,0
MSAAI,AI Traffic,/artificial-intelligence-education/,49,-29,56,-33,0,0,0,0
MSNP,Organic Search,/masters-nonprofit-leadership-management/,49,1,86,-3,5,3,0.10204081632653061,0.06037414965986395
MSNNL,Paid Search,/masters-nursing-leadership/nursing-informatics-track/,49,31,88,63,1,1,0.02040816326530612,0.02040816326530612
MED,Direct,/rethinking-education-assessment-types/,49,-18,53,-8,0,0,0,0
MSITL,Display,/masters-information-technology-leadership/lp/ppc/,48,-6,52,-4,3,2,0.0625,0.04398148148148148
MSAAI,Organic Search,/artificial-intelligence-scholarships/,48,-20,55,-25,0,-1,0,-0.014705882352941176
MESH,Organic Search,/top-degrees-for-social-justice-careers/,48,7,55,4,0,0,0,0
MSAAI,Referral,/masters-applied-artificial-intelligence/,47,-22,126,9,6,3,0.1276595744680851,0.08418131359851988
